#Name,Artist,Duration
Barbra Streisand,Duck Sauce,300
Acceptable in the 80s,Calvin Harris,333
Bangarang,Skrillex feat. Sirah,215
Baptism,Crystal Castles,252
Everyday (Netsky Remix),Rusko,251
I Can't Stop,Flux Pavilion,305
Baby's On Fire,Die Antwoord,233
Got 2 Know,Flux Pavilion,350
Daybreak (GoPro HERO3 Edit),Overwerk,304
Baby Baby Baby,Make The Girl Dance,244
Standing In The Way Of Control,The Gossip,414
Knobbers,Crookers,305
Five Hours,Deorro,18000
Nightcall,Kavinsky,258
Lights & Music,Cut Copy,277
Safe And Sound,Justice,350
We Can Make The World Stop,The Glitch Mob,326
Mitsubishi,The Subs,322
Fortune Days,The Glitch Mob,262
Eple (Full Version),Ršyksopp,371
Levels (Skrillex remix),Avicii,278
Hear my Name,Armand Van Helden feat. Spalding Rockwell,465
Cinema (Skrillex Remix),Benny Benassi feat. Gary Go,307
Loud Pipes,Ratatat,226
I Love Ibiza (Original Mix),Seamus Haji & Cevin Fisher,383
Acid Wolfpack (Original Mix),Coyote Kisses,336
Ampersand (Original Mix),Stephen Walking & Soulero,296
Flying Spaghetti Monster,Doctor P and Cecile Charlton,249
Bad (Original Mix),David Guetta feat Vassy,270
